"Region","District","Trt","mean_diff_all"
"Oromia","Jima Arjo","All-P",-2.7473870285605
"Oromia","Jima Arjo","All-S",16.4254382758322
"Oromia","Jima Arjo","All-Zn",8.57359888839996
"Oromia","Jima Arjo","Control",-60.336029387234
"Oromia","Jima Arjo","recNP+S2",4.43918600838433
"Oromia","Kersa","All",0
"Oromia","Kersa","All-B",-8.95990795006006
"Oromia","Kersa","All-K",-5.19415917002064
"Oromia","Kersa","All-KSZnB",4.06878646518584
"Oromia","Kersa","All-N",-35.0106610546997
"Oromia","Kersa","All-P",-29.7415358196698
"Oromia","Kersa","All-S",-2.91931374402544
"Oromia","Kersa","All-Zn",4.18611280418771
"Oromia","Kersa","Control",-47.5098013687629
"Oromia","Kersa","recNP+S2",-0.381290434043286
"Oromia","Liban Gamo","All",0
"Oromia","Liban Gamo","All-B",-2.35547806535308
"Oromia","Liban Gamo","All-K",1.55248303698315
"Oromia","Liban Gamo","All-KSZnB",-5.16216506682267
"Oromia","Liban Gamo","All-N",-51.0051886252468
"Oromia","Liban Gamo","All-P",-19.4750521829516
"Oromia","Liban Gamo","All-S",7.1677291138485
"Oromia","Liban Gamo","All-Zn",-5.71968254561097
"Oromia","Liban Gamo","Control",-60.7992689057236
"Oromia","Liban Gamo","recNP+S2",-3.74591574509507
"Oromia","Liban Jawi","All",0
"Oromia","Liban Jawi","All-B",-1.56651490894348
"Oromia","Liban Jawi","All-K",-0.599697820827622
"Oromia","Liban Jawi","All-KSZnB",-6.17766051148759
"Oromia","Liban Jawi","All-N",-62.6884829882606
"Oromia","Liban Jawi","All-P",-38.3490855808247
"Oromia","Liban Jawi","All-S",-0.758369706735717
"Oromia","Liban Jawi","All-Zn",-0.0969679820226024
"Oromia","Liban Jawi","Control",-70.9746437797682
"Oromia","Liban Jawi","recNP+S2",2.23990884926128
"Oromia","Lume","All",0
"Oromia","Lume","All-B",3.50478620640548
"Oromia","Lume","All-K",10.567196827181
"Oromia","Lume","All-KSZnB",9.91044322522203
"Oromia","Lume","All-N",-30.7703418160165
"Oromia","Lume","All-P",1.91559714943866
"Oromia","Lume","All-S",14.9582866871465
"Oromia","Lume","All-Zn",2.23675925821648
"Oromia","Lume","Control",-39.8622862629579
"Oromia","Lume","recNP+S2",4.05854771661379
"Oromia","Meta","All",0
"Oromia","Meta","All-B",7.55054436432426
"Oromia","Meta","All-K",-5.04286257920411
"Oromia","Meta","All-KSZnB",-2.50399777555994
"Oromia","Meta","All-N",-39.9116312375478
"Oromia","Meta","All-P",-14.215811188491
"Oromia","Meta","All-S",1.44415723824089
"Oromia","Meta","All-Zn",-1.3179192354022
"Oromia","Meta","Control",-44.0467600700138
"Oromia","Meta","recNP+S2",-18.3715243340555
"Oromia","Sinana","All",0
"Oromia","Sinana","All-B",11.0603810611008
"Oromia","Sinana","All-K",5.47298567018601
"Oromia","Sinana","All-KSZnB",9.38468018027939
"Oromia","Sinana","All-N",-22.1312167380425
"Oromia","Sinana","All-P",-7.89129246560434
"Oromia","Sinana","All-S",9.93058018956852
"Oromia","Sinana","All-Zn",1.22166121378431
"Oromia","Sinana","Control",-57.3576618362467
"Oromia","Sinana","recNP+S2",7.2239029786188
"Oromia","Tiyo","All",0
"Oromia","Tiyo","All-B",0.907038505567783
"Oromia","Tiyo","All-K",-0.0997854227273907
"Oromia","Tiyo","All-KSZnB",-6.57134193583749
"Oromia","Tiyo","All-N",-35.6847794952225
"Oromia","Tiyo","All-P",-14.6754867782422
"Oromia","Tiyo","All-S",-1.46416166576252
"Oromia","Tiyo","All-Zn",-2.20060306697656
"Oromia","Tiyo","Control",-51.5587568797997
"Oromia","Tiyo","recNP+S2",-6.77421712785293
"Oromia","Toke Kutaye","All",0
"Oromia","Toke Kutaye","All-B",0.495714448477132
"Oromia","Toke Kutaye","All-K",2.35006122014107
"Oromia","Toke Kutaye","All-KSZnB",1.91736444488982
"Oromia","Toke Kutaye","All-N",-43.0926036534927
"Oromia","Toke Kutaye","All-P",-9.35630286308797
"Oromia","Toke Kutaye","All-S",-2.25249084177625
"Oromia","Toke Kutaye","All-Zn",-3.44474162830887
"Oromia","Toke Kutaye","Control",-52.3265385845951
"Oromia","Toke Kutaye","recNP+S2",-3.69409493113249
"Oromia","Welmera","All",0
"Oromia","Welmera","All-B",8.13993841249971
"Oromia","Welmera","All-K",5.26981709994073
"Oromia","Welmera","All-KSZnB",-2.41141472574962
"Oromia","Welmera","All-N",-43.3980547234699
"Oromia","Welmera","All-P",-12.2622488509433
"Oromia","Welmera","All-S",12.7057896741656
"Oromia","Welmera","All-Zn",12.4690041024899
"Oromia","Welmera","Control",-64.3719815727588
"Oromia","Welmera","recNP+S2",7.10222599426829
"Oromia","Yayagul","All",0
"Oromia","Yayagul","All-B",3.4359145653495
"Oromia","Yayagul","All-K",-4.98998147662207
"Oromia","Yayagul","All-KSZnB",8.42011501424816
"Oromia","Yayagul","All-N",-21.2783090228252
"Oromia","Yayagul","All-P",-14.6142713176486
"Oromia","Yayagul","All-S",0.536664259920732
"Oromia","Yayagul","All-Zn",-3.20460646633099
"Oromia","Yayagul","Control",-46.0731827672966
"Oromia","Yayagul","recNP+S2",2.70782834761884
"SNNPR","Adiyo","All",0
"SNNPR","Adiyo","All-B",0.697929374774296
"SNNPR","Adiyo","All-K",0.217953901111593
"SNNPR","Adiyo","All-KSZnB",-5.9889427239481
"SNNPR","Adiyo","All-N",-26.2572016099239
"SNNPR","Adiyo","All-P",-20.6194418076216
"SNNPR","Adiyo","All-S",0.992405659112124
"SNNPR","Adiyo","All-Zn",3.50701624105112
"SNNPR","Adiyo","Control",-42.8530560557817
"SNNPR","Adiyo","recNP+S2",-7.60354025011435
"SNNPR","Angecha","All",0
"SNNPR","Angecha","All-B",-1.74805707558602
"SNNPR","Angecha","All-K",-5.4307571532205
"SNNPR","Angecha","All-KSZnB",-3.80124722237757
"SNNPR","Angecha","All-N",-32.213092750518
"SNNPR","Angecha","All-P",-7.92022014375895
"SNNPR","Angecha","All-S",-2.72689037395969
"SNNPR","Angecha","All-Zn",-1.65565071889441
"SNNPR","Angecha","Control",-35.6868050688016
"SNNPR","Angecha","recNP+S2",-5.9077539470464
"SNNPR","Anilemo","All",0
"SNNPR","Anilemo","All-K",-6.98603214796473
"SNNPR","Anilemo","All-KSZnB",-1.40289082907512
"SNNPR","Anilemo","Control",-38.0651652910974
"SNNPR","Debub Ari","All",0
"SNNPR","Debub Ari","All-B",6.64606873303648
"SNNPR","Debub Ari","All-K",3.5459122241371
"SNNPR","Debub Ari","All-KSZnB",7.46778667750725
"SNNPR","Debub Ari","All-N",-32.9418345807792
"SNNPR","Debub Ari","All-P",-5.63221004205109
"SNNPR","Debub Ari","All-S",6.76983240768601
"SNNPR","Debub Ari","All-Zn",3.56231996741673
"SNNPR","Debub Ari","Control",-43.5764298685381
"SNNPR","Debub Ari","recNP+S2",8.05786564007419
"SNNPR","Doyogena","All",0
"SNNPR","Doyogena","All-B",5.7731921679664
"SNNPR","Doyogena","All-K",5.93632640773647
"SNNPR","Doyogena","All-KSZnB",7.13468351606234
"SNNPR","Doyogena","All-N",-34.8461178853311
"SNNPR","Doyogena","All-P",-0.822710326473993
"SNNPR","Doyogena","All-S",-1.97345768446137
"SNNPR","Doyogena","All-Zn",-0.187522975933885
"SNNPR","Doyogena","Control",-35.6082718194551
"SNNPR","Doyogena","recNP+S2",-3.15535968365255
"SNNPR","Lemo","All",0
"SNNPR","Lemo","All-K",-2.30583306103212
"SNNPR","Lemo","All-KSZnB",2.9724225219844
"SNNPR","Lemo","Control",-47.8699405804721
"SNNPR","Sankura","All",0
